OrderDate,SalesID,SalesName,InvoiceNo,CustomerName,OrderValue,DiscountValue,SalesValue,SalesReturn,CreditedAmount,Commission,Remarks,CustomerID
2025-01-01,EMWS001,Al Amin,2024,Dali Super Shop,0.0,0.0,0.0,0.0,0.0,0.0,N/A,CUST00016
2025-03-01,EMWS001,Al Amin,333,Rahaman Corporation,0.0,0.0,0.0,0.0,25000.0,0.0,N/A,CUST00039
2025-05-01,EMWS001,Al Amin,INV000003,Popular Alumium,0.0,0.0,0.0,0.0,44300.0,0.0,N/A,CUST00038
2025-06-01,EMWS001,Al Amin,INV000004,Silvia  Crockerise,0.0,0.0,0.0,0.0,21000.0,0.0,N/A,CUST00050
2025-08-01,EMWS001,Al Amin,17,Supper Pavillion,16175.5,0.0,16175.5,0.0,0.0,0.0,N/A,CUST00051
2025-08-01,EMWS001,Al Amin,18,Royel Kitchen,12794.88,0.0,12794.88,0.0,0.0,0.0,N/A,CUST00042
2025-08-01,EMWS001,Al Amin,363,Iqbal Crockeries,0.0,0.0,0.0,0.0,10620.0,0.0,N/A,CUST00025
2025-09-01,EMWS001,Al Amin,229,Morshead Enterprise,0.0,0.0,0.0,0.0,2000.0,0.0,N/A,CUST00034
2025-09-01,EMWS001,Al Amin,333,Rahaman Corporation,0.0,0.0,0.0,0.0,20000.0,0.0,N/A,CUST00039
2025-09-01,EMWS001,Al Amin,INV000010,Silvia  Crockerise,0.0,0.0,0.0,0.0,21000.0,0.0,N/A,CUST00050
2025-11-01,EMWS001,Al Amin,19,Ramisha Enterprise,43834.5,0.0,43834.5,0.0,0.0,0.0,N/A,CUST00041
2025-01-02,EMWS001,Al Amin,81,Ramisha Enterprise,50502.75,0.0,50502.75,0.0,0.0,0.0,N/A,CUST00041
2025-01-02,EMWS001,Al Amin,82,Alif Crockeries,9409.5,0.0,9409.5,0.0,0.0,0.0,N/A,CUST00004
2025-03-02,EMWS001,Al Amin,92,Silva Crockeries,99781.5,0.0,99781.5,0.0,0.0,0.0,N/A,CUST00049
2025-04-02,EMWS001,Al Amin,97,Newaaz Crockeries,18283.5,1734.0,16549.5,0.0,0.0,0.0,N/A,CUST00036
2025-04-02,EMWS001,Al Amin,98,Anonda Crockeries,19048.5,0.0,19048.5,0.0,0.0,0.0,N/A,CUST00006
2025-04-02,EMWS001,Al Amin,99,Al - Aksa Crockeries,67371.0,0.0,67371.0,0.0,0.0,0.0,N/A,CUST00002
2025-06-02,EMWS001,Al Amin,19,Ramisha Enterprise,0.0,0.0,0.0,0.0,13830.0,0.0,N/A,CUST00041
2025-06-02,EMWS001,Al Amin,62,Anondo Crokerise,0.0,0.0,0.0,0.0,3500.0,0.0,N/A,CUST00007
2025-06-02,EMWS001,Al Amin,63,Madina Crokerise,0.0,0.0,0.0,0.0,3000.0,0.0,N/A,CUST00031
2025-09-02,EMWS001,Al Amin,148,Alif Crockerise,0.0,0.0,0.0,0.0,530.0,0.0,N/A,CUST00005
2025-09-02,EMWS001,Al Amin,194,Alif Crockerise,0.0,0.0,0.0,0.0,2780.0,0.0,N/A,CUST00005
2025-09-02,EMWS001,Al Amin,315,Beli Crockerise,0.0,0.0,0.0,0.0,3000.0,0.0,N/A,CUST00010
2025-10-02,EMWS001,Al Amin,333,Rahaman Corporation,0.0,0.0,0.0,0.0,20000.0,0.0,N/A,CUST00039
2025-11-02,EMWS001,Al Amin,315,Beli Crockerise,0.0,0.0,0.0,0.0,2000.0,0.0,N/A,CUST00010
2025-11-02,EMWS001,Al Amin,340,Foysal Enterprise,0.0,0.0,0.0,0.0,3000.0,0.0,N/A,CUST00021
2025-11-02,EMWS001,Al Amin,82,Alif Crockeries,0.0,0.0,0.0,0.0,3000.0,0.0,N/A,CUST00004
2025-11-02,EMWS001,Al Amin,92,Silva Crockeries,0.0,0.0,0.0,0.0,20000.0,0.0,N/A,CUST00049
2025-01-03,EMWS001,Al Amin,81,Ramisha Enterprise,0.0,0.0,0.0,0.0,10000.0,0.0,N/A,CUST00041
2025-02-03,EMWS001,Al Amin,233,Swift Mart,0.0,0.0,0.0,0.0,6760.0,0.0,N/A,CUST00052
2025-02-03,EMWS001,Al Amin,82,Alif Crockeries,0.0,0.0,0.0,0.0,2400.0,0.0,N/A,CUST00004
2025-02-03,EMWS001,Al Amin,99,Al - Aksa Crockeries,0.0,0.0,0.0,0.0,5000.0,0.0,N/A,CUST00002
2025-09-04,EMWS001,Al Amin,ORD000014,Swift Mart,719172.8,0.0,719172.8,0.0,0.0,0.0,N/A,CUST00052
2025-09-04,EMWS001,Al Amin,ORD000015,Royel Kitchen,45544.8,910.9,44633.9,0.0,0.0,0.0,N/A,CUST00042
2025-10-04,EMWS001,Al Amin,INV000035,Swift Mart,0.0,0.0,0.0,0.0,250000.0,5000.0,N/A,CUST00052
